1.0	0.65	0.60
2.0	1.23	0.44
3.5	1.44	0.40
7.0	1.98	0.28
7.0	5.87	0.80
8.0	6.14	0.76
9.0	6.49	0.68
9.0	16.07	1.72
10.5	2.26	0.20
10.5	6.67	0.60
10.5	12.64	1.16
10.5	17.71	1.56
10.5	22.16	2.08
10.5	29.54	2.76
11.5	6.86	0.56
11.5	12.95	1.08
11.5	17.20	1.48
11.5	22.74	1.92
11.5	30.26	2.56
11.5	38.90	3.32
12.5	7.06	0.52
12.5	13.27	1.04
12.5	17.70	1.36
12.5	23.36	1.80
12.5	31.20	2.40
12.5	40.00	3.16
14.0	2.44	0.16
14.0	7.18	0.52
14.0	13.63	0.96
14.0	18.05	1.24
14.0	24.00	1.68
14.0	32.10	2.24
14.0	41.40	2.92
14.0	54.30	3.80
15.0	7.30	0.48
15.0	13.82	0.88
15.0	18.40	1.20
15.0	24.36	1.60
15.0	32.54	2.12
15.0	42.00	2.76
15.0	55.20	3.60
16.0	7.46	0.44
16.0	14.06	0.84
16.0	18.71	1.12
16.0	24.80	1.48
16.0	33.22	2.00
16.0	43.20	2.56
16.0	56.00	3.44
17.5	2.57	0.16
17.5	7.54	0.40
17.5	14.31	0.80
17.5	19.00	1.04
17.5	25.28	1.40
17.5	33.89	1.88
17.5	43.90	2.48
17.5	57.80	3.24
18.5	34.09	1.80
18.5	44.30	2.36
18.5	58.20	3.08
19.5	34.55	1.72
19.5	44.90	2.24
19.5	59.00	2.96
21.0	2.67	0.12
21.0	7.80	0.36
21.0	14.78	0.68
21.0	19.67	0.92
21.0	26.20	1.20
21.0	34.97	1.64
21.0	45.80	2.16
21.0	60.50	2.84
21.0	77.40	3.60
22.0	35.33	1.56
22.0	46.00	2.04
22.0	60.60	2.72
22.0	77.80	3.48
23.0	35.68	1.48
23.0	46.40	2.00
23.0	61.20	2.60
23.0	78.80	3.36
24.5	2.74	0.12
24.5	8.00	0.32
24.5	15.16	0.60
24.5	20.19	0.80
24.5	26.92	1.08
24.5	36.22	1.44
24.5	47.20	1.88
24.5	62.60	2.52
24.5	80.30	3.20
25.5	62.40	2.40
25.5	80.50	3.08
26.5	62.90	2.32
26.5	81.40	3.00
28.0	2.79	0.08
28.0	8.15	0.28
28.0	15.46	0.52
28.0	20.62	0.72
28.0	27.47	0.96
28.0	36.98	1.28
28.0	48.30	1.72
28.0	64.10	2.24
28.0	82.60	2.92
29.0	82.60	2.80
30.0	83.40	2.72
31.5	84.20	2.64
