4.6	44.6
4.7	46.4
4.8	38.8
4.8	44.2
4.8	43.8
4.9	44
4.9	43
4.9	42
4.9	35.5
5	47.3
5	44.5
5	47.6
5.1	42.9
5.1	45.4
5	45.1
5	42.3
4.8	37.7
4.9	40.7
4.9	35.5
5	48.4
5.1	37.3
5.1	49.7
5	46.1
5.1	39
5.1	44.6
5	49.5
4.9	33.1
4.9	36
4.9	32
5	41.5
5.1	37
5.2	45.6
5.2	46.8
5.1	41.8
5	38.2
4.9	37
4.9	40.3
5	47.7
5	45
5	37.1
5	51.5
4.9	45.6
4.8	32.1
4.9	39.6
4.9	39
4.9	44.2
5	46.2
5	44.5
5	41.9
5	36.3
5	43.7
5	40.6
5	33.5
5	35.4
5.1	40.2
5.1	41
5.2	42.8
5.1	47.9
5.1	39.6
5	47.3
4.9	45
4.8	36.6
4.8	42.5
4.7	38.7
4.8	40
4.8	44.4
4.9	41.1
4.8	31
5.6	53.6
5.7	52
5.6	50.2
5.7	45.9
5.9	39
5.9	47.2
6	47.4
6.2	61.2
6	60.6
6.1	56
6.1	52.9
6.1	48
6.2	61.3
6.1	46.7
6.2	51.9
6	59
6.1	51.2
6.2	52.3
6.3	50.2
6.4	62.4
6.3	55
6.2	52.3
6.2	57.4
6.2	55.1
6.2	55.5
6.2	55.6
6.2	45.2
6.3	56.8
6.4	55.1
6.3	49.5
6.3	42.2
6.2	50.8
6.1	56
6.1	43.5
6.2	49.4
6.4	52.7
6.4	49.8
6.2	49.7
6.2	53.7
6.2	50.9
6.1	44.7
6.2	52.7
6.5	62.9
6.4	59.9
6.2	57.8
6.1	48.8
6.1	52.3
6.2	54.2
6.2	56.7
6.3	58.1
